outlet,author,rating,text,date_posted
Anytime Fitness Northpoint City,S dfc,1,"When I was offered a promotion package to sign up for 18 month membership, they did not give me the complementary shaker bottle as they advertised, and when I asked about it, they replied like oh first come first serve.. only gave a cheap white towel as a signup gift…
Besides that, the sales staff kept raving that the North Point City is the biggest AF gym within SG… but their dumbbells are very worn out… and is ALWAYS not enough to use…  so called the biggest gym in SG they were so proud of, but only one set of dumbbell available at one corner…. They have lots of treadmill machines but only has one set of dumbbell….amazing…it is very obvious that the demand for the dumbbell usage is more than the supply!!….no rubber mats also.. And then come to their machines, very dirty… If you touched the side metal bar of any machine which are use to hold the weight plates, you ended up with a pair of smelly brown colour hands… then the two hand grips for the ISO lateral chest machine, one long, one short! LOL and when you feedback to the staff, the reply will be “this is already an old gym mah!”
Being an old gym is not to be taken as an excuse of not maintaining your equipments! Why not charge cheaper for the membership for an “OLD gym” with super worn out equipment??",Date not found
Anytime Fitness Northpoint City,Jia Xuan Cheng,1,"- Air conditioning is weak.
- Rusty equipment.
- Dirty floors.
- Dirty washrooms.
- Musty smell.
- Not allowed to enter if you forget key fob and you’re not a home member of this outlet.",Date not found
Anytime Fitness Northpoint City,Divya Bhatt,3,"I’ve been a loyal member of this gym for many years, but I recently had a concerning experience where a staff member threatened to escort me out for a minor rule infraction. While I understand the importance of rules, I was disappointed by the lack of professionalism and customer service in handling the situation.",Date not found
Anytime Fitness Northpoint City,Ks_8899,1,"The old gym that has been receiving a lot of negative feedback due to equipment being under maintenance, so I will not be discussing it further.

Vanessa sent me an email attempting to force for an international transfer or ban me from access. She’s picked the wrong person to challenge, and I will escalate this issue until I get the resolution I'm seeking.",Date not found
Anytime Fitness Northpoint City,dini dollah,1,Poorly maintained equipment. Rusty equipment. Management show zero interest in trying to retain customer. Poor air conditioning. Uneven floors. Should just close down this outlet.,Date not found
Anytime Fitness Northpoint City,JL,5,"I went to this outlet with my friend as we were looking for potential gym outlets that would be worth the value and quality of the equipment (we used to have safra energyone memberships but it expired awhile back). One of the consultants, goes by the name of Ian at this outlet, was very helpful with the enquiries concerning membership fees!",Date not found
Anytime Fitness Northpoint City,Danielle,3,"quite spacious, but some machines are quite run down. please fix leg extension machine",Date not found
Anytime Fitness Northpoint City,Minbo Borox,1,"Very bad experience with anytime fitness Northpoint City, just wanted to sign-up for 6 months membership and pay fully. The name of ""Sharil"" who served to collect my ID/ home address/ bank statement, after keying all my details into computer at the end he said their system is down, he will not be able to activate access card for my membership.
1: If the system is down how come he be able to enter all my details into the system without noticing their server doesn't work ?
2 : when I asked him what time I can come tomorrow, he said "" don't know"" seriously ? What a pathetic nonsense response.
3: He rudely given me his number & asking me to contact him via whatsapp, even-though he already collected my contact number, he supposed to instead apologized for inconvenience caused and reach me out once their system back to normal but seems the Anytime fitness staff very rude & careless. This is ridiculous, btw thank God that I get to know before all of my 4 cousins intend to sign-up for anytime fitness membership... God saved us all.. lol",Date not found
Anytime Fitness Northpoint City,Sya S,1,"Dirty, overcharge the price, amenities are not maintain. Feedback won’t be heard doesn’t provide basic stuffs like foam roller. Dangerous to deadlift because platform uneven. Barbell rust will stain your shirt.",Date not found
Anytime Fitness Northpoint City,Amirul Asraff,2,"Big gym with old, rusty and faulty equipment. I was trying to adjust the seat of a machine which turned out to be faulty. There was no signage and the staff who stood near me, didn’t bother to ask if I needed help. There’s so much potential for this gym, it just needs to be revamped.",Date not found
Anytime Fitness Northpoint City,Su,1,"I have been an Anytime Fitness member for so many years. And I have been to so many different clubs in Singapore. Sometimes when I forget to bring the key, I can just give the staff my keyfob number and they will assist to check it in the system and let me go in (for once or twice, of course not all the time) even though I might not be the member of that particular club. This time I told the staff at the North Point club that I forgot the key because I came straight after work and I stay in SengKang which is very far from Yishun for me to go back and grab the key. And this is my first time forgetting the key at that club. But the staff was very rude and he didn’t assist me at all. The staff just kept repeating that “this is the policy and I can’t help”. I can understand that it is the policy. However if that’s the standard policy, why other staffs/other clubs can close one eye and help out the members who have reasonable explanation just to keep a long term member happy? And it’s not like I cannot prove/he cannot check that I am the active member. In their system, they can clearly see that I am an active member and why is it so hard to just let me in for one time? Their service in helping a member out is just so bad.",Date not found
Anytime Fitness Northpoint City,Rendy Tiopan,2,"The Aicon is so so bad. I wonder how the rest of you do it. I wanted to stay longer for workout but left in less than 1 hour.
Please fix it. As mentioned by the rest, some of the plates and equipments are sticky and literally leave black marks on you.",Date not found
Anytime Fitness Northpoint City,ChoonSeang Tan,1,One of most expensive yet poorly maintained AF gym.,Date not found
Anytime Fitness Northpoint City,A. L,2,Quality is acceptable but not great. Only has one barbell that has grip in centre for squats. The rest of the barbells does not have grip on centre which means it might slip on your back if you're not careful or using lowbar position. I always try to go during off peak. My main complaint would be all the powerlifters hogging onto all the squat rack and platforms. These guys would sit around for at least 1 hour or more at the racks which is ridiculous . Management should enforce non hogging policies.,Date not found
Anytime Fitness Northpoint City,Farina M J,3,"I have been going to branches in AF . I changed to Northpoint as I moved to Yishun. Big gyms and the equipments are not bad. Except some dumbbells need to be replace as there's alot of chips. The staffs here is ok, doing their own things but the least is gives some smile to members.",Date not found
Anytime Fitness Northpoint City,Abir Singh,1,"Bad experience I face . I have membership with anytime Hillview studio . On 2 April I visit they collect the payment for new membership. After two days they are asking you have due of payment have to pay after that you can join the studio . They taken my key . Really bad experience.
That time I was student went back to india I also forget to email them but this time I come as work permit this is not good have to tell me before pay your due after that you can join new membership .",Date not found
Anytime Fitness Northpoint City,Lim Yap Kai,4,"Good Gym place with loads of equipment and showering facility. Better than expected. However, I am genuinely concern about the pricing options. Hope more promotions are available to entice especially short term customers before proceeding with a long term contract. TBH Price Options can be alil confusing and several ""Hidden"" charges onsite than advertised. Sigh.. If you don't sign contract 1 Month = $158.36 (Advertised) + Joining Fee around $90 (Less Advertised) + Gym Key $80 (Less Advertised) Was kindda disappointing.",Date not found
Anytime Fitness Northpoint City,Sean Seah (Xiang),1,"Dusty, poor maintenance of equipment. totally lack of care for equipment; feedback given by members of the gym often fall on deaf ears.

Staff very unfriendly. Used to be a home club member of AFNPC, however my membership has been transferred to another outlet. I am glad, that AFNPC is not my home club anymore.",Date not found
